TS,HR Raw,Smile,Raise Brow,Clench,Normalized HR,Pleasure,Arousal
2019.04.01.19.13.07,102,0.222697514,0.996487167,0.778977137,0.330769231,0.388125957,0.459496329
2019.04.01.19.13.08,102,0.463201716,0.159897645,0.719587185,0.423076923,0.446472418,0.470414339
2019.04.01.19.13.08,114,0.463201716,0.159897645,0.719587185,0.423076923,0.446472418,0.470414339
2019.04.01.19.13.09,114,0.420228181,0.690207585,0.495857819,0.392307692,0.446412939,0.462829683
2019.04.01.19.13.09,110,0.420228181,0.690207585,0.495857819,0.392307692,0.446412939,0.462829683
2019.04.01.19.13.10,110,0.471950474,0.635201641,0.28024949,0.446153846,0.461366504,0.46763999
2019.04.01.19.13.10,117,0.471950474,0.635201641,0.28024949,0.446153846,0.461366504,0.46763999
2019.04.01.19.13.11,117,0.182168314,0.682339838,0.387730432,0.530769231,0.357321953,0.48128875
2019.04.01.19.13.11,128,0.182168314,0.682339838,0.387730432,0.530769231,0.357321953,0.48128875
2019.04.01.19.13.12,128,0.571744794,0.053295104,0.458166505,0.6,0.517018558,0.548403445
2019.04.01.19.13.12,137,0.571744794,0.053295104,0.458166505,0.6,0.517018558,0.548403445
2019.04.01.19.13.13,137,0.869257712,0.415771481,0.333152105,0.469230769,0.650290445,0.546939968
2019.04.01.19.13.13,120,0.869257712,0.415771481,0.333152105,0.469230769,0.650290445,0.546939968
2019.04.01.19.13.14,120,0.193536327,0.761561183,0.983055653,0.346153846,0.375076001,0.470014039
2019.04.01.19.13.14,104,0.193536327,0.761561183,0.983055653,0.346153846,0.375076001,0.470014039
2019.04.01.19.13.15,104,0.836084439,0.51450413,0.521414415,0.407692308,0.643941766,0.541494848
2019.04.01.19.13.15,112,0.836084439,0.51450413,0.521414415,0.407692308,0.643941766,0.541494848
2019.04.01.19.13.16,112,0.002855779,0.935577893,0.18445201,0.338461538,0.214969342,0.32487367
2019.04.01.19.13.16,103,0.002855779,0.935577893,0.18445201,0.338461538,0.214969342,0.32487367
2019.04.01.19.13.17,103,0.298803425,0.811320511,0.248616376,0.438461538,0.386933863,0.441262116
2019.04.01.19.13.17,116,0.298803425,0.811320511,0.248616376,0.438461538,0.386933863,0.441262116
2019.04.01.19.13.18,116,0.969785269,0.015953837,0.363241811,0.423076923,0.649735276,0.503884863
2019.04.01.19.13.18,114,0.969785269,0.015953837,0.363241811,0.423076923,0.649735276,0.503884863
2019.04.01.19.13.19,114,0.754163039,0.229891156,0.919708391,0.369230769,0.602810705,0.533316444
2019.04.01.19.13.19,107,0.754163039,0.229891156,0.919708391,0.369230769,0.602810705,0.533316444
2019.04.01.19.13.20,107,0.939379679,0.374010425,0.763186662,0.569230769,0.754178779,0.681293439
2019.04.01.19.13.20,133,0.939379679,0.374010425,0.763186662,0.569230769,0.754178779,0.681293439
2019.04.01.19.13.21,133,0.976231402,0.196990125,0.446787095,0.338461538,0.654031885,0.48504028
2019.04.01.19.13.21,103,0.976231402,0.196990125,0.446787095,0.338461538,0.654031885,0.48504028
2019.04.01.19.13.22,103,0.542841879,0.715791226,0.833908214,0.6,0.606390884,0.665233731
2019.04.01.19.13.22,137,0.542841879,0.715791226,0.833908214,0.6,0.606390884,0.665233731
2019.04.01.19.13.23,137,0.556499221,0.152453749,0.081971026,0.530769231,0.460922857,0.457302411
2019.04.01.19.13.23,128,0.556499221,0.152453749,0.081971026,0.530769231,0.460922857,0.457302411
2019.04.01.19.13.24,128,0.207032093,0.226687788,0.327587821,0.584615385,0.334328223,0.463982601
2019.04.01.19.13.24,135,0.207032093,0.226687788,0.327587821,0.584615385,0.334328223,0.463982601
2019.04.01.19.13.25,135,0.195192604,0.494452147,0.329475409,0.376923077,0.293065981,0.364058893
2019.04.01.19.13.25,108,0.195192604,0.494452147,0.329475409,0.376923077,0.293065981,0.364058893
2019.04.01.19.13.26,108,0.984277515,0.799529936,0.542735278,0.576923077,0.799442202,0.704372634
2019.04.01.19.13.26,134,0.984277515,0.799529936,0.542735278,0.576923077,0.799442202,0.704372634
2019.04.01.19.13.27,134,0.696533414,0.765272463,0.06170948,0.623076923,0.617887978,0.598936505
2019.04.01.19.13.27,140,0.696533414,0.765272463,0.06170948,0.623076923,0.617887978,0.598936505
2019.04.01.19.13.28,140,0.331981506,0.847692221,0.820185869,0.6,0.512778562,0.634193404
2019.04.01.19.13.28,137,0.331981506,0.847692221,0.820185869,0.6,0.512778562,0.634193404
2019.04.01.19.13.29,137,0.037898931,0.62452265,0.1336302,0.5,0.244764751,0.390076581
2019.04.01.19.13.29,124,0.037898931,0.62452265,0.1336302,0.5,0.244764751,0.390076581
2019.04.01.19.13.30,124,0.921126646,0.351102725,0.677920038,0.446153846,0.697311753,0.588715915
2019.04.01.19.13.30,117,0.921126646,0.351102725,0.677920038,0.446153846,0.697311753,0.588715915
2019.04.01.19.13.31,117,0.75280413,0.231374753,0.28231535,0.346153846,0.531617229,0.423737911
2019.04.01.19.13.31,104,0.75280413,0.231374753,0.28231535,0.346153846,0.531617229,0.423737911
2019.04.01.19.13.32,104,0.676746119,0.435686983,0.928482699,0.415384615,0.599405412,0.567421096
2019.04.01.19.13.32,113,0.676746119,0.435686983,0.928482699,0.415384615,0.599405412,0.567421096
2019.04.01.19.13.33,113,0.139713792,0.241197374,0.15619639,0.469230769,0.250365503,0.357030416
2019.04.01.19.13.33,120,0.139713792,0.241197374,0.15619639,0.469230769,0.250365503,0.357030416
2019.04.01.19.13.34,120,0.822633927,0.901421278,0.583131213,0.469230769,0.700541443,0.623677057
2019.04.01.19.13.34,120,0.822633927,0.901421278,0.583131213,0.469230769,0.700541443,0.623677057
2019.04.01.19.13.35,120,0.634145257,0.834545142,0.592918366,0.561538462,0.628280518,0.636144397
2019.04.01.19.13.35,132,0.634145257,0.834545142,0.592918366,0.561538462,0.628280518,0.636144397
2019.04.01.19.13.36,132,0.056774118,0.646989184,0.839691843,0.546153846,0.340901315,0.529699826
